var,value_type,dataset_id
PRCCS21,double,KY_SID_2013_CORE
PRCCS22,double,KY_SID_2013_CORE
PRCCS23,double,KY_SID_2013_CORE
PRCCS24,double,KY_SID_2013_CORE
PRCCS25,double,KY_SID_2013_CORE
PRDAY1,double,KY_SID_2013_CORE
PRDAY2,double,KY_SID_2013_CORE
PRDAY3,double,KY_SID_2013_CORE
PRDAY4,double,KY_SID_2013_CORE
PRDAY5,double,KY_SID_2013_CORE
PRDAY6,double,KY_SID_2013_CORE
PRDAY7,double,KY_SID_2013_CORE
PRDAY8,double,KY_SID_2013_CORE
PRDAY9,double,KY_SID_2013_CORE
PRDAY10,double,KY_SID_2013_CORE
PRDAY11,double,KY_SID_2013_CORE
PRDAY12,double,KY_SID_2013_CORE
PRDAY13,double,KY_SID_2013_CORE
PRDAY14,double,KY_SID_2013_CORE
PRDAY15,double,KY_SID_2013_CORE
PRDAY16,double,KY_SID_2013_CORE
PRDAY17,double,KY_SID_2013_CORE
PRDAY18,double,KY_SID_2013_CORE
PRDAY19,double,KY_SID_2013_CORE
PRDAY20,double,KY_SID_2013_CORE
PRDAY21,double,KY_SID_2013_CORE
PRDAY22,double,KY_SID_2013_CORE
PRDAY23,double,KY_SID_2013_CORE
PRDAY24,double,KY_SID_2013_CORE
PRDAY25,double,KY_SID_2013_CORE
PROCTYPE,double,KY_SID_2013_CORE
PSTATE,string,KY_SID_2013_CORE
PSTCO,double,KY_SID_2013_CORE
PSTCO2,double,KY_SID_2013_CORE
PointOfOriginUB04,string,KY_SID_2013_CORE
PointOfOrigin_X,string,KY_SID_2013_CORE
RACE,double,KY_SID_2013_CORE
RACE_X,string,KY_SID_2013_CORE
TOTCHG,double,KY_SID_2013_CORE
TOTCHG_X,double,KY_SID_2013_CORE
TRAN_IN,double,KY_SID_2013_CORE
TRAN_OUT,double,KY_SID_2013_CORE
YEAR,double,KY_SID_2013_CORE
ZIPINC_QRTL,double,KY_SID_2013_CORE
ZIP,string,KY_SID_2013_CORE
AYEAR,double,KY_SID_2013_CORE
BMONTH,double,KY_SID_2013_CORE
BYEAR,double,KY_SID_2013_CORE
PRMONTH1,double,KY_SID_2013_CORE
PRMONTH2,double,KY_SID_2013_CORE
PRMONTH3,double,KY_SID_2013_CORE
PRMONTH4,double,KY_SID_2013_CORE
PRMONTH5,double,KY_SID_2013_CORE
PRMONTH6,double,KY_SID_2013_CORE
PRMONTH7,double,KY_SID_2013_CORE
PRMONTH8,double,KY_SID_2013_CORE
PRMONTH9,double,KY_SID_2013_CORE
PRMONTH10,double,KY_SID_2013_CORE
PRMONTH11,double,KY_SID_2013_CORE
PRMONTH12,double,KY_SID_2013_CORE
PRMONTH13,double,KY_SID_2013_CORE
PRMONTH14,double,KY_SID_2013_CORE
PRMONTH15,double,KY_SID_2013_CORE
PRMONTH16,double,KY_SID_2013_CORE
PRMONTH17,double,KY_SID_2013_CORE
PRMONTH18,double,KY_SID_2013_CORE
PRMONTH19,double,KY_SID_2013_CORE
PRMONTH20,double,KY_SID_2013_CORE
PRMONTH21,double,KY_SID_2013_CORE
PRMONTH22,double,KY_SID_2013_CORE
PRMONTH23,double,KY_SID_2013_CORE
PRMONTH24,double,KY_SID_2013_CORE
PRMONTH25,double,KY_SID_2013_CORE
PRYEAR1,double,KY_SID_2013_CORE
PRYEAR2,double,KY_SID_2013_CORE
PRYEAR3,double,KY_SID_2013_CORE
PRYEAR4,double,KY_SID_2013_CORE
PRYEAR5,double,KY_SID_2013_CORE
PRYEAR6,double,KY_SID_2013_CORE
PRYEAR7,double,KY_SID_2013_CORE
PRYEAR8,double,KY_SID_2013_CORE
PRYEAR9,double,KY_SID_2013_CORE
PRYEAR10,double,KY_SID_2013_CORE
PRYEAR11,double,KY_SID_2013_CORE
PRYEAR12,double,KY_SID_2013_CORE
PRYEAR13,double,KY_SID_2013_CORE
PRYEAR14,double,KY_SID_2013_CORE
PRYEAR15,double,KY_SID_2013_CORE
PRYEAR16,double,KY_SID_2013_CORE
PRYEAR17,double,KY_SID_2013_CORE
PRYEAR18,double,KY_SID_2013_CORE
PRYEAR19,double,KY_SID_2013_CORE
PRYEAR20,double,KY_SID_2013_CORE
PRYEAR21,double,KY_SID_2013_CORE
PRYEAR22,double,KY_SID_2013_CORE
PRYEAR23,double,KY_SID_2013_CORE
PRYEAR24,double,KY_SID_2013_CORE
PRYEAR25,double,KY_SID_2013_CORE
