var,value_type,dataset_id
CPTM2_28,string,NJ_SID_2012_CORE
CPTM2_29,string,NJ_SID_2012_CORE
CPTM2_30,string,NJ_SID_2012_CORE
CPTM2_31,string,NJ_SID_2012_CORE
CPTM2_32,string,NJ_SID_2012_CORE
CPTM2_33,string,NJ_SID_2012_CORE
CPTM2_34,string,NJ_SID_2012_CORE
CPTM2_35,string,NJ_SID_2012_CORE
CPTM2_36,string,NJ_SID_2012_CORE
CPTM2_37,string,NJ_SID_2012_CORE
CPTM2_38,string,NJ_SID_2012_CORE
CPTM2_39,string,NJ_SID_2012_CORE
CPTM2_40,string,NJ_SID_2012_CORE
CPTM2_41,string,NJ_SID_2012_CORE
CPTM2_42,string,NJ_SID_2012_CORE
CPTM2_43,string,NJ_SID_2012_CORE
CPTM2_44,string,NJ_SID_2012_CORE
CPTM2_45,string,NJ_SID_2012_CORE
CPTM2_46,string,NJ_SID_2012_CORE
CPTM2_47,string,NJ_SID_2012_CORE
CPTM2_48,string,NJ_SID_2012_CORE
CPTM2_49,string,NJ_SID_2012_CORE
CPTM2_50,string,NJ_SID_2012_CORE
DHOUR,double,NJ_SID_2012_CORE
DIED,double,NJ_SID_2012_CORE
DISPUB04,double,NJ_SID_2012_CORE
DISPUNIFORM,double,NJ_SID_2012_CORE
DISP_X,string,NJ_SID_2012_CORE
DQTR,double,NJ_SID_2012_CORE
DRG,double,NJ_SID_2012_CORE
DRG24,double,NJ_SID_2012_CORE
DRGVER,double,NJ_SID_2012_CORE
DRG_NoPOA,double,NJ_SID_2012_CORE
DSHOSPID,string,NJ_SID_2012_CORE
DX1,string,NJ_SID_2012_CORE
DX2,string,NJ_SID_2012_CORE
DX3,string,NJ_SID_2012_CORE
DX4,string,NJ_SID_2012_CORE
DX5,string,NJ_SID_2012_CORE
DX6,string,NJ_SID_2012_CORE
DX7,string,NJ_SID_2012_CORE
DX8,string,NJ_SID_2012_CORE
DX9,string,NJ_SID_2012_CORE
DX10,string,NJ_SID_2012_CORE
DX11,string,NJ_SID_2012_CORE
DX12,string,NJ_SID_2012_CORE
DX13,string,NJ_SID_2012_CORE
DX14,string,NJ_SID_2012_CORE
DX15,string,NJ_SID_2012_CORE
DX16,string,NJ_SID_2012_CORE
DX17,string,NJ_SID_2012_CORE
DX18,string,NJ_SID_2012_CORE
DX19,string,NJ_SID_2012_CORE
DX20,string,NJ_SID_2012_CORE
DX21,string,NJ_SID_2012_CORE
DX22,string,NJ_SID_2012_CORE
DX23,string,NJ_SID_2012_CORE
DX24,string,NJ_SID_2012_CORE
DXCCS1,double,NJ_SID_2012_CORE
DXCCS2,double,NJ_SID_2012_CORE
DXCCS3,double,NJ_SID_2012_CORE
DXCCS4,double,NJ_SID_2012_CORE
DXCCS5,double,NJ_SID_2012_CORE
DXCCS6,double,NJ_SID_2012_CORE
DXCCS7,double,NJ_SID_2012_CORE
DXCCS8,double,NJ_SID_2012_CORE
DXCCS9,double,NJ_SID_2012_CORE
DXCCS10,double,NJ_SID_2012_CORE
DXCCS11,double,NJ_SID_2012_CORE
DXCCS12,double,NJ_SID_2012_CORE
DXCCS13,double,NJ_SID_2012_CORE
DXCCS14,double,NJ_SID_2012_CORE
DXCCS15,double,NJ_SID_2012_CORE
